,Unnamed: 0,X,Y,weights,X_norm,Y_norm,weight_norm
0,0,-0.9438866461003298,0.0483524051336185,88.81827357442118,-0.617854021469124,-0.1872728095129342,0.15265943337431026
1,1,0.8969453730194055,0.3192730221088788,101.7961198067219,-0.2843441699640146,-0.09317658383030239,0.4209044481931954
2,2,6.347276374755148,1.4700877948865254,128.0847734968475,0.7031109938764122,0.30652473010875664,0.9642766050557855
3,3,-1.0072283349843971,0.8001779344619493,109.07959929173786,-0.6293298525250778,0.07385144699982456,0.5714500030887698
4,4,7.551606759450818,0.7296853787776065,129.81309164208793,0.9213036608830474,0.049367952525776755,1.0
5,5,4.4976682687000284,3.3872382856242678,38.96863308746015,0.36801114859663153,0.9723899833999088,-0.8777054909580054
6,6,7.753213725124572,0.1309136907313989,88.3222425446588,0.9578294864260005,-0.15859760033545628,0.14240674209198742
7,7,1.249733648872608,-0.4935826578363144,69.8861156366252,-0.22042830785900405,-0.375497849599886,-0.23865796210674592
8,8,-3.053169325705678,2.394562292208588,33.512031704909965,-1.0,0.6276134752513902,-0.9904904702621897
9,9,-1.0779204296959368,-0.7073350190191489,39.64673040156983,-0.6421373818188723,-0.44973838043365455,-0.8636895887184431
10,10,5.592635506779895,1.2628177390973834,108.07429109597116,0.5663901191827702,0.23453563542657604,0.5506708301008973
11,11,1.7899708810627757,-2.291641046059262,41.188379087104856,-0.12255167532876836,-1.0,-0.8318245498595611
